iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,num_samples,time_VF,VF_error_before,VF_error_after
78,1.191727638244629,-166.60319840300284,0.0013212851969427518,-166.60089299768933,-166.6063157395548,16.866277803445584,0.1,0.0067026615142822266,0.12697958946228027,0.0556572,0.004991892,-166.14381848784348,12000,0.5480861663818359,2.3287317028311374e-06,5.471164535034592e-07
79,1.2123496532440186,-166.60121403725964,0.0006188396157009653,-166.60072739342135,-166.60306211430205,11.60382167234947,0.1,0.00543665885925293,0.11179518699645996,0.05075747,0.008084091,-166.18955804278508,12000,0.5638015270233154,5.437610923708254e-07,3.3644752026115093e-06
80,1.197913646697998,-166.6007602661753,7.126745433972014e-05,-166.60072739342135,-166.6009708745812,11.302776635586575,0.1,0.004990816116333008,0.10508251190185547,0.047339123,0.009476093,-166.2306782651241,12000,0.555156946182251,3.3580833033514083e-06,1.5767969865830142e-06
81,1.1909754276275635,-166.60097593572075,0.00038570813836143994,-166.60072739342135,-166.6020476100933,12.789848515046197,0.1,0.0067059993743896484,0.1106269359588623,0.047567535,0.0080042435,-166.2677080321838,12000,0.5145041942596436,1.5782608458506379e-06,1.1523326266900082e-06
82,1.3041846752166748,-166.60110774532873,0.0005524081713650988,-166.60072739342135,-166.60298192663595,26.20792220218849,0.1,0.0053555965423583984,0.11960411071777344,0.050147604,0.003908246,-166.30104800349832,12000,0.4964163303375244,1.1508134431450923e-06,5.39623032535391e-07
83,1.276904821395874,-166.60306080434034,0.0015042222097808497,-166.60086897031823,-166.6059922283272,12.964509606828534,0.1,0.006111860275268555,0.12091469764709473,0.050446015,0.007196808,-166.3312492835825,12000,0.4656944274902344,5.430855673967624e-07,1.1641888545981751e-06
84,1.316453218460083,-166.60157947499195,0.0007877005773038689,-166.60072739342135,-166.60362805234266,14.584354893203818,0.1,0.004369974136352539,0.1027984619140625,0.050465338,0.005866269,-166.35828230272344,12000,0.44641637802124023,1.1528028249898678e-06,6.337790229310082e-07
85,1.3170161247253418,-166.60316105108657,0.0015151531883540658,-166.60093558132564,-166.60742834022332,14.653806950529143,0.1,0.006693840026855469,0.13524413108825684,0.04962005,0.0062955804,-166.38277017755973,12000,0.4431138038635254,6.381915276751757e-07,5.311433525445695e-07
86,1.2999451160430908,-166.60629106155778,0.0033543654910518873,-166.60138027374998,-166.61673040590946,12.600060655304956,0.1,0.0047931671142578125,0.10305333137512207,0.05076683,0.008094525,-166.40512226595953,12000,0.4135591983795166,5.277810680367414e-07,5.438826371533849e-07
87,1.3012702465057373,-166.6032359760121,0.0019591892976483782,-166.60085712186452,-166.60743702793414,12.446030991409543,0.1,0.006689548492431641,0.11502671241760254,0.049505383,0.007926217,-166.4249336369648,12000,0.42868471145629883,5.309289194920821e-07,4.0619276203840005e-07
